URL,Product Name,Brand,Sale Price,MRP
https://www.adidas.co.inhttps://www.adidas.co.in/nu23-cricket-shoes/JK0171.html,NU23 Cricket Shoes,Adidas,₹2 999.50,"₹4 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/adilette-comfort-slides/ID3406.html,Adilette Comfort Slides,Adidas,N/A,N/A
https://www.adidas.co.inhttps://www.adidas.co.in/aerozoomxcel-shoes/JK7580.html,AeroZoomXcel Shoes,Adidas,₹3 919.50,"₹5 599.00 
-30%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/adilette-comfort-slides/H03616.html,Adilette Comfort Slides,Adidas,₹3 219.50,"₹4 599.00 
-30%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/predator-league-firm-multi-ground-boots/JI1117.html,Predator League Firm/Multi-Ground Boots,Adidas,₹5 399.50,"₹8 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/predator-league-firm-multi-ground-boots/JI1115.html,Predator League Firm/Multi-Ground Boots,Adidas,₹5 399.50,"₹8 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/drop-step-low-2.0-ikd-shoes/KK6400.html,Drop Step Low 2.0 IKD Shoes,Adidas,₹4 799.50,"₹7 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/runfalcon-3.0-shoes/IE0744.html,Runfalcon 3.0 Shoes,Adidas,N/A,N/A
https://www.adidas.co.inhttps://www.adidas.co.in/hoops-4.0-ikd-shoes/KK6408.html,Hoops 4.0 IKD Shoes,Adidas,₹3 959.50,"₹6 599.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/nu24-cricket-shoes/JK0177.html,NU24 Cricket Shoes,Adidas,₹2 879.50,"₹4 799.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/drumlin-shoes/JK7711.html,DRUMLIN Shoes,Adidas,₹2 759.50,"₹4 599.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/nu24-cricket-shoes/JK0176.html,NU24 Cricket Shoes,Adidas,₹2 879.50,"₹4 799.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/superstar-ii-shoes/JQ3216.html,SUPERSTAR II shoes,Adidas,₹7 199.50,"₹11 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/ultraboost-5-shoes/JQ2911.html,Ultraboost 5 Shoes,Adidas,₹10 799.50,"₹17 999.00 
-40%
Discount"
